regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
support_rank_top5__AND__low_ll_q35,2,543,655,5,13,2,-0.09569499942457702,-0.12131049921431784,0.04365910751609614,False,0.06389711105669837
from_glycine__AND__support_rank_top5,2,78,154,5,1,2,-0.18473409778962907,-0.09570395884855627,0.023464022878650542,False,0.0
from_glycine__AND__high_disagreement_q85,2,27,82,5,1,2,0.08111581580392627,-0.002671638442018656,0.020458846906818998,False,0.5784236293228648
from_glycine__AND__high_ref_adv_q85,2,27,82,5,1,2,0.08111581580392627,-0.002671638442018656,0.020458846906818998,False,0.5784236293228648
from_glycine__AND__high_disagreement_q75,2,44,117,5,1,2,-0.005634019754767955,-0.02947751173165556,0.013371454050775916,False,0.32705604760373824
from_glycine__AND__high_ref_adv_q75,2,44,117,5,1,2,-0.005634019754767955,-0.02947751173165556,0.013371454050775916,False,0.32705604760373824
from_glycine__AND__support_rank_top10,2,137,284,5,1,2,-0.2079808162554331,-0.07747616120880665,-0.04191734825905882,False,0.0
from_glycine,1,137,1248,5,1,2,-0.2079808162554331,-0.07747616120880665,-0.11452115876001831,False,0.0
from_glycine__AND__involves_special_residue,2,137,1248,5,1,2,-0.2079808162554331,-0.07747616120880665,-0.11452115876001831,False,0.0
from_glycine__AND__high_frob_q75,2,48,703,5,1,2,-0.12443650699847186,-0.02271254892681726,-0.2339114498182862,False,0.0
from_glycine__AND__high_frob_q80,2,34,567,5,1,2,-0.06124989082581118,-0.002483567662746067,-0.24116274509812047,False,0.0
to_basic__AND__low_ll_q50,2,261,707,4,2,2,-0.14178908919247044,-0.10925419738741225,0.033719974756009366,False,0.10237016590190236
to_basic__AND__low_ll_q35,2,192,467,4,2,2,-0.14025138143634927,-0.10873740266947195,0.026943115629232725,False,0.09085827372471082
charge_flip__AND__polarity_flip,2,247,870,4,3,2,-0.22300260795699842,-0.10459814279764906,-0.05464029529593001,False,0.0
aromatic_change__AND__polarity_flip,2,245,990,4,3,2,-0.19550905570602353,-0.10794843909017908,-0.05712117928461766,False,0.0
from_glycine__AND__charge_flip,2,75,688,4,1,2,-0.1698599596857736,-0.07106514022420808,-0.12302403825885061,False,0.0
charge_flip__AND__high_frob_low_ll_and_from_glycine,2,3,3,3,0,2,0.21804696594839004,0.0,0.2893385731563094,False,2.5082349259711476
support_rank_top5__AND__high_frob_low_ll_and_from_glycine,2,3,3,3,0,2,0.21804696594839004,0.0,0.2893385731563094,False,2.5082349259711476
support_rank_top10__AND__high_frob_low_ll_and_from_glycine,2,3,3,3,0,2,0.21804696594839004,0.0,0.2893385731563094,False,2.5082349259711476
to_acidic__AND__high_disagreement_q75,2,49,129,3,1,2,0.0312906275184927,-0.03906579823661573,0.04171274944861336,False,0.36465564420837404
to_acidic__AND__high_ref_adv_q75,2,49,129,3,1,2,0.0312906275184927,-0.03906579823661573,0.04171274944861336,False,0.36465564420837404
